contract_id,text,text_norm,label
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","Roche shall have the right to terminate the Agreement in its entirety, or on a Work Stream-by-Work Stream basis, except for the ctDNA Work Stream, upon […***…] prior written notice, without cause.",roche shall have the right to terminate the agreement in its entirety or on a work stream by work stream basis except for the ctdna work stream upon prior written notice without cause,Termination For Convenience
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,All such records required to be created and maintained pursuant to Section 2.12(a) shall be kept available at the Operator's office and made available for the Owner's inspection upon request at all reasonable times.,all such records required to be created and maintained pursuant to section 2 12 a shall be kept available at the operator s office and made available for the owner s inspection upon request at all reasonable times,Audit Rights
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,"Except for a termination of this Agreement resulting from Distributor's breach of Section 9.0 (Proprietary Rights and Software Licensing) or Section 19.0(Confidential Information), upon termination or expiration of this Agreement, Distributor may continue to use, in accordance with the terms and conditions of this Agreement, Products shipped to it by Cisco prior to the date of termination or expiration.",except for a termination of this agreement resulting from distributor s breach of section 9 0 proprietary rights and software licensing or section 19 0 confidential information upon termination or expiration of this agreement distributor may continue to use in accordance with the terms and conditions of this agreement products shipped to it by cisco prior to the date of termination or expiration,Post-Termination Services
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,"EXCEPT IN THE EVENT OF A BREACH OF SECTION 11, NEITHER PARTY SHALL BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",except in the event of a breach of section 11 neither party shall be liable for special incidental or consequential damages or lost profits however arising including negligence arising out of or in connection with this agreement even if the parties are aware of the possibility of such damages,Uncapped Liability
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"Effective as of the Initial Closing Date, the Purchaser will cause each Acquired Company and each Purchaser Assignee to grant, following each applicable Closing Date, to the Seller Parties, an irrevocable (except as expressly set forth herein), perpetual, non-sublicenseable (except as expressly set forth herein), fully paid-up, royalty-free, worldwide, non-transferable (except as expressly set forth herein), non-exclusive license, under the Acquired Company Patents and Assigned Patents: (i) (A) to use the Acquired Company Patents and Assigned Patents in the operation of the Seller Business and to practice any methods, processes, and procedures in connection therewith and (B) to make, have made, use, sell, offer for sale, import, and otherwise dispose of products, services, and systems that were designed, developed, manufactured, distributed, offered for sale, sold, resold, supported, otherwise under development, or provided, as of the applicable Closing Date, by the Seller Parties in connection with the Seller Business and to practice any methods, processes, and procedures in connection therewith, and in each case of clauses (A) and (B), including with respect to all Derivative Works and natural evolutions thereof;",effective as of the initial closing date the purchaser will cause each acquired company and each purchaser assignee to grant following each applicable closing date to the seller parties an irrevocable except as expressly set forth herein perpetual non sublicenseable except as expressly set forth herein fully paid up royalty free worldwide non transferable except as expressly set forth herein non exclusive license under the acquired company patents and assigned patents i a to use the acquired company patents and assigned patents in the operation of the seller business and to practice any methods processes and procedures in connection therewith and b to make have made use sell offer for sale import and otherwise dispose of products services and systems that were designed developed manufactured distributed offered for sale sold resold supported otherwise under development or provided as of the applicable closing date by the seller parties in connection with the seller business and to practice any methods processes and procedures in connection therewith and in each case of clauses a and b including with respect to all derivative works and natural evolutions thereof,License Grant
"Reinsurance Group of America, Incorporated - A_R REMARKETING AGREEMENT","Notwithstanding the provisions of this Section 7(d), the Remarketing Agent shall not be required to contribute any amount in excess of the total price at which Remarketing Securities distributed in the Remarketing exceed the amount of any damages which the Remarketing Agent has otherwise paid or become liable to pay by reason of any untrue or alleged untrue statement or omission or alleged omission.",notwithstanding the provisions of this section 7 d the remarketing agent shall not be required to contribute any amount in excess of the total price at which remarketing securities distributed in the remarketing exceed the amount of any damages which the remarketing agent has otherwise paid or become liable to pay by reason of any untrue or alleged untrue statement or omission or alleged omission,Cap On Liability
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,This Agreement will automatically renew for successive one-year terms unless terminated by either party by providing the other with 30 days written notice that this Agreement will not be renewed or Affiliate enters into a Processing agreement with Network 1 and an ISO Sponsorship agreement with Harris Bank in which case this Agreement will automatically terminate concurrent with the execution of such agreements.,this agreement will automatically renew for successive one year terms unless terminated by either party by providing the other with 30 days written notice that this agreement will not be renewed or affiliate enters into a processing agreement with network 1 and an iso sponsorship agreement with harris bank in which case this agreement will automatically terminate concurrent with the execution of such agreements,Renewal Term
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,"Subject to the approval process in Section 2, theglobe hereby grants to Boxlot a non-exclusive, worldwide license to use, reproduce, create derivative works of (only as necessary to build Co- Branded Pages), publicly display, publicly perform and digitally perform the Page Templates on Co-Branded Pages.",subject to the approval process in section 2 theglobe hereby grants to boxlot a non exclusive worldwide license to use reproduce create derivative works of only as necessary to build co branded pages publicly display publicly perform and digitally perform the page templates on co branded pages,License Grant
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"Division of Income and Losses. All income and credits, and all losses and deductions shall be owned and shared among the Joint Venturers as follows: 50% to Collectible Concepts Group, Inc. 50% to Pivotal Self Service Tech, Inc.",division of income and losses all income and credits and all losses and deductions shall be owned and shared among the joint venturers as follows 50 to collectible concepts group inc 50 to pivotal self service tech inc,Revenue/Profit Sharing
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT","This Agreement is to be governed by and construed in accordance with the laws of the State of New York, United States, notwithstanding any conflict of law provisions to the contrary.",this agreement is to be governed by and construed in accordance with the laws of the state of new york united states notwithstanding any conflict of law provisions to the contrary,Governing Law
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,"Allied Esports International, Inc.",allied esports international inc,Parties
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","Rubicon hereby grants to ISA during the Term (as defined below) and subject to the exclusions described in 2.4 below an exclusive, non-transferable license in the United States to market, sell, use, display, perform, sublicense and distribute the Rubicon Offerings, the Documentation and, subject to Section 2.2, any upgrades thereto, subject to the conditions set forth in this Agreement",rubicon hereby grants to isa during the term as defined below and subject to the exclusions described in 2 4 below an exclusive non transferable license in the united states to market sell use display perform sublicense and distribute the rubicon offerings the documentation and subject to section 2 2 any upgrades thereto subject to the conditions set forth in this agreement,Exclusivity
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,"Cargill, Incorporated",cargill incorporated,Parties
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","RemainCo, for itself and as representative of all other members of the RemainCo Group, hereby grants to SpinCo (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the RemainCo Know-How currently or previously used in connection with the SpinCo Business or otherwise in the possession of SpinCo or any member of the SpinCo Group as of the Distribution Date (the ""Licensed RemainCo Know-How""), for the continued operation of the SpinCo Business and any future extensions of the SpinCo Business in the SpinCo Core Field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the Licensed RemainCo Know-How for the continued operation of the SpinCo Business and any future extensions of the SpinCo Business in any field other than the RemainCo Core Field or the SpinCo Core Field; provided, however, the foregoing licenses shall not extend to (i) RemainCo Know-How licensed by RemainCo or any other member of the RemainCo Group if and to the extent the licensing of same to SpinCo would constitute a breach of an agreement with any Third Party executed prior to the Effective Date or result in any expense to RemainCo or any member of the RemainCo Group for payments to such Third Party or (ii) any intellectual property not owned by one or more members of the RemainCo Group, or as to which no member of the RemainCo Group has the right to grant sublicenses, as of the Effective Date.",remainco for itself and as representative of all other members of the remainco group hereby grants to spinco x a perpetual irrevocable exclusive royalty free worldwide right and license with the right to grant sublicenses solely as set forth in section 5 6 to use the remainco know how currently or previously used in connection with the spinco business or otherwise in the possession of spinco or any member of the spinco group as of the distribution date the licensed remainco know how for the continued operation of the spinco business and any future extensions of the spinco business in the spinco core field and y a perpetual irrevocable non exclusive royalty free worldwide right and license with the right to grant sublicenses solely as set forth in section 5 6 to use the licensed remainco know how for the continued operation of the spinco business and any future extensions of the spinco business in any field other than the remainco core field or the spinco core field provided however the foregoing licenses shall not extend to i remainco know how licensed by remainco or any other member of the remainco group if and to the extent the licensing of same to spinco would constitute a breach of an agreement with any third party executed prior to the effective date or result in any expense to remainco or any member of the remainco group for payments to such third party or ii any intellectual property not owned by one or more members of the remainco group or as to which no member of the remainco group has the right to grant sublicenses as of the effective date,License Grant
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,"Distributor shall be entitled to advertise, promote, market or",distributor shall be entitled to advertise promote market or,Exclusivity
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT","(a) Each of EA, Farids and the Company shall not, and shall cause their respective controlled Affiliates to not, either directly or indirectly solicit, hire, or contract with any of the employees of the other party or its Affiliates during the Term (as defined in the Exclusive Supplier Operating Agreement) and for one (1) year following the termination or expiration thereof; provided that this Section 8.9(a) shall not apply with respect to any such employee who employment with the other party and its Affiliates has been terminated for a period in excess of nine (9) months.",a each of ea farids and the company shall not and shall cause their respective controlled affiliates to not either directly or indirectly solicit hire or contract with any of the employees of the other party or its affiliates during the term as defined in the exclusive supplier operating agreement and for one 1 year following the termination or expiration thereof provided that this section 8 9 a shall not apply with respect to any such employee who employment with the other party and its affiliates has been terminated for a period in excess of nine 9 months,Post-Termination Services
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Upon the expiration or termination of this Agreement, pursuant to Section 4.1 or 4.2 hereof, the Company may, at its option to be exercised within 30 days of the date of the termination of this Agreement, and in its sole discretion, repurchase any Products in the possession of the Distributor at the net invoice price paid by the Distributor to the Company less any applicable special allowances, discounts, shipping or allowances for cooperative advertising.",upon the expiration or termination of this agreement pursuant to section 4 1 or 4 2 hereof the company may at its option to be exercised within 30 days of the date of the termination of this agreement and in its sole discretion repurchase any products in the possession of the distributor at the net invoice price paid by the distributor to the company less any applicable special allowances discounts shipping or allowances for cooperative advertising,Post-Termination Services
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,Any assignment in violation of this Section 14.1 shall be null and void.,any assignment in violation of this section 14 1 shall be null and void,Anti-Assignment
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,"Holiday RV Superstores, Inc.",holiday rv superstores inc,Parties
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,INTELLECTUAL PROPERTY AGREEMENT,intellectual property agreement,Document Name
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"ACTION FIRST ARISING, EVEN IF IT IS A CONTINUOUS ONE, OR IN THE AGGREGATE, WITH RESPECT OF ALL CLAIMS ARISING OUT OF OR RELATED TO THIS AGREEMENT, THE TOTAL AMOUNT ACTUALLY PAID BY CORIO UNDER THIS AGREEMENT TO CHANGEPOINT.",action first arising even if it is a continuous one or in the aggregate with respect of all claims arising out of or related to this agreement the total amount actually paid by corio under this agreement to changepoint,Cap On Liability
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT,"DISTRIBUTOR acknowledges PPG SHANGHAI's exclusive right and interests in relation to the PPG Trademarks and further acknowledges that all copyrights, patent, utility model rights and all other industrial property rights of whatever kind used in or in connection with the Products are the sole and exclusive property of PPG SHANGHAI or PPG and that DISTRIBUTOR will not, whether during the Term of this appointment or after its expiry or termination, knowingly do or cause to be done any act or thing directly or indirectly, contest or in any way impair or attempting to impair PPG SHANGHAI or PPG's rights, titles or interests in the PPG Trademarks.",distributor acknowledges ppg shanghai s exclusive right and interests in relation to the ppg trademarks and further acknowledges that all copyrights patent utility model rights and all other industrial property rights of whatever kind used in or in connection with the products are the sole and exclusive property of ppg shanghai or ppg and that distributor will not whether during the term of this appointment or after its expiry or termination knowingly do or cause to be done any act or thing directly or indirectly contest or in any way impair or attempting to impair ppg shanghai or ppg s rights titles or interests in the ppg trademarks,Covenant Not To Sue
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Each of you agrees that during the period Franchisee operates any Buffalo Wild Wings and/or bw-3 Restaurants, or has any beneficial interest therein, or holds any rights to develop one or more such Restaurants (including all renewal periods) you shall not directly or indirectly on your own account or as an employee, consultant, partner, officer, director, shareholder or member of any person, firm, entity, partnership, corporation or company, own, operate, lease franchise, engage in, be connected with, have any interest in, or assist any person or entity engaged in: 1) any restaurant business, 2) any prepared food business, or 3) any other business which sells prepared food products the same or similar as the type sold in our System.",each of you agrees that during the period franchisee operates any buffalo wild wings and or bw 3 restaurants or has any beneficial interest therein or holds any rights to develop one or more such restaurants including all renewal periods you shall not directly or indirectly on your own account or as an employee consultant partner officer director shareholder or member of any person firm entity partnership corporation or company own operate lease franchise engage in be connected with have any interest in or assist any person or entity engaged in 1 any restaurant business 2 any prepared food business or 3 any other business which sells prepared food products the same or similar as the type sold in our system,Non-Compete
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT,"TELKOM may, at its own cost, verify that the new version of the Source Code is deposited with the Escrow Agent.",telkom may at its own cost verify that the new version of the source code is deposited with the escrow agent,Source Code Escrow
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT",BLACKSTONE INFRASTRUCTURE ASSOCIATES L.P.,blackstone infrastructure associates l p,Parties
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,JOINT VENTURE AGREEMENT,joint venture agreement,Document Name
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT","Vendor shall maintain insurance for not less than the following limits and coverage with duly licensed insurance companies having an A.M. Best rating of A-, X or better.",vendor shall maintain insurance for not less than the following limits and coverage with duly licensed insurance companies having an a m best rating of a x or better,Insurance
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,"Once every twelve (12) months, 2TheMart through a CPA may inspect and audit such records to verify reports.",once every twelve 12 months 2themart through a cpa may inspect and audit such records to verify reports,Audit Rights
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"If a Seller Party assigns or transfers any Licensed IP, the Seller shall (or shall cause the applicable Seller Party to) expressly condition such assignment or transfer on the express acknowledgement and agreement of the assignee or transferee that all such Licensed IP is bound by the license grants set forth herein.",if a seller party assigns or transfers any licensed ip the seller shall or shall cause the applicable seller party to expressly condition such assignment or transfer on the express acknowledgement and agreement of the assignee or transferee that all such licensed ip is bound by the license grants set forth herein,Anti-Assignment
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,"Once you have units open and operating in the trade area where a National Account is located, we will remit to you 25% of the profits derived from the sales in that specific trade area.",once you have units open and operating in the trade area where a national account is located we will remit to you 25 of the profits derived from the sales in that specific trade area,Revenue/Profit Sharing
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,"If a substantial portion of the assets or controlling stock in Licensee's business is sold or transferred, or if there is a substantial change in Licensee's management, or if Licensee's property is expropriated, confiscated or nationalized by any government or if any government assumes de facto control of Licensee's business, in whole or in part, Fox may terminate this Agreement upon 30 days' notice to Licensee.",if a substantial portion of the assets or controlling stock in licensee s business is sold or transferred or if there is a substantial change in licensee s management or if licensee s property is expropriated confiscated or nationalized by any government or if any government assumes de facto control of licensee s business in whole or in part fox may terminate this agreement upon 30 days notice to licensee,Change Of Control
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT,"Beijing Yisheng Leju Information Services Co., Ltd",beijing yisheng leju information services co ltd,Parties
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"Effective as of the Initial Closing Date, the Seller hereby grants (and will cause each other Seller Party to grant, following each applicable Closing Date, to the Purchaser Licensees) a perpetual (unless terminated in accordance with Section 4.2(ii)(c)), fully paid-up, royalty-free, worldwide, non-transferable (except as set forth herein), non-exclusive license to use any and all Licensed Trademarks in the Business (including with respect to the Purchaser Licensed Activities), including with respect to all Derivative Works and natural evolutions of such Business, in a manner that is the same or substantially similar to the manner in which the Seller Entities have used the Licensed Trademarks in the Business.",effective as of the initial closing date the seller hereby grants and will cause each other seller party to grant following each applicable closing date to the purchaser licensees a perpetual unless terminated in accordance with section 4 2 ii c fully paid up royalty free worldwide non transferable except as set forth herein non exclusive license to use any and all licensed trademarks in the business including with respect to the purchaser licensed activities including with respect to all derivative works and natural evolutions of such business in a manner that is the same or substantially similar to the manner in which the seller entities have used the licensed trademarks in the business,Irrevocable Or Perpetual License
"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT","If, after the Effective Date, TPH or TPH-A shall have materially breached any of its representations or warranties contained in this Agreement or shall have failed to comply in any material respect with any of the other covenants or agreements contained in this Agreement, which breach or failure shall not have been remedied within thirty (30) days after written notice thereof (the ""Default Notice"") has been given by AFSL to TPH/TPH-A, then AFSL shall have the option of purchasing from TPH-A, and TPH-A shall be obligated to sell, all of the Shares then owned by TPH-A at a purchase price per Share equal to the lesser of: (i) the Net Book Value as of the most recent month end (provided that, if the Net Book Value is a negative amount, the product of the Net Book Value multiplied by such Sale Shares shall be deemed to be one Japanese Yen (¥1)), or (ii) the Shares Purchase Price, divided by the number of Sale Shares. AFSL shall provide written notice of its election (the ""Election Notice"") to purchase the Shares owned by TPH-A within ten (10) Business Days following the expiration of the thirty (30) day cure period set forth in the Default Notice. The closing of the purchase of the Shares owned by TPH-A",if after the effective date tph or tph a shall have materially breached any of its representations or warranties contained in this agreement or shall have failed to comply in any material respect with any of the other covenants or agreements contained in this agreement which breach or failure shall not have been remedied within thirty 30 days after written notice thereof the default notice has been given by afsl to tph tph a then afsl shall have the option of purchasing from tph a and tph a shall be obligated to sell all of the shares then owned by tph a at a purchase price per share equal to the lesser of i the net book value as of the most recent month end provided that if the net book value is a negative amount the product of the net book value multiplied by such sale shares shall be deemed to be one japanese yen 1 or ii the shares purchase price divided by the number of sale shares afsl shall provide written notice of its election the election notice to purchase the shares owned by tph a within ten 10 business days following the expiration of the thirty 30 day cure period set forth in the default notice the closing of the purchase of the shares owned by tph a,Rofr/Rofo/Rofn
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT","Upon expiration or termination of this Agreement, the Company will (i) provide reasonable cooperation and assistance to Allscripts, at Allscripts' written request and to the extent necessary to fulfill any continuing obligations under this Agreement, in transitioning the terminated Support Services to an alternative service provider; and [***].",upon expiration or termination of this agreement the company will i provide reasonable cooperation and assistance to allscripts at allscripts written request and to the extent necessary to fulfill any continuing obligations under this agreement in transitioning the terminated support services to an alternative service provider and,Post-Termination Services
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT,Outsourcing Agreement,outsourcing agreement,Document Name
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT,PPG Paints Trading (Shanghai) Co Ltd,ppg paints trading shanghai co ltd,Parties
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT",PRAIRIE VCOC ACQUIROR LP,prairie vcoc acquiror lp,Parties
"Reinsurance Group of America, Incorporated - A_R REMARKETING AGREEMENT","This Agreement and the terms and provisions hereof are for the sole benefit of only those persons, except that (A) the representations, warranties, indemnities and agreements of the Issuers contained in this Agreement shall also be deemed to be for the benefit of the officers, directors and employees of the Remarketing Agent and the person or persons, if any, who control the Remarketing Agent within the meaning of Section 15 of the Securities Act; and (B) any indemnity agreement of the Remarketing Agent contained in this Agreement shall be deemed to be for the benefit of directors, trustees, officers and employees of the Company, and the Trust, and any person controlling the Company or the Trust within the meaning of Section 15 of the Securities Act.",this agreement and the terms and provisions hereof are for the sole benefit of only those persons except that a the representations warranties indemnities and agreements of the issuers contained in this agreement shall also be deemed to be for the benefit of the officers directors and employees of the remarketing agent and the person or persons if any who control the remarketing agent within the meaning of section 15 of the securities act and b any indemnity agreement of the remarketing agent contained in this agreement shall be deemed to be for the benefit of directors trustees officers and employees of the company and the trust and any person controlling the company or the trust within the meaning of section 15 of the securities act,Third Party Beneficiary
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,"Provided they do not infringe the marks of Affiliate or an affiliate of Affiliate, Affiliate shall not directly or indirectly question, attack, contest or in any other manner impugn the validity of the Marks or Network's rights in and to the Marks and shall reasonably cooperate with Network's quality control, monitoring and inspection of the use of the Marks.",provided they do not infringe the marks of affiliate or an affiliate of affiliate affiliate shall not directly or indirectly question attack contest or in any other manner impugn the validity of the marks or network s rights in and to the marks and shall reasonably cooperate with network s quality control monitoring and inspection of the use of the marks,Covenant Not To Sue
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,"Subject to the terms and conditions of this Agreement, Igene shall transfer and assign, or cause to be transferred and assigned, to the Operating Company the Transferred Assets described in Appendix 3.2.",subject to the terms and conditions of this agreement igene shall transfer and assign or cause to be transferred and assigned to the operating company the transferred assets described in appendix 3 2,Ip Ownership Assignment
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT","Subcontractor shall not assign any right or interest under this Agreement (excepting monies due, or to become due) or delegate or subcontract any Work or other obligation to be performed or owed under this Agreement without prior consent of EDGE.",subcontractor shall not assign any right or interest under this agreement excepting monies due or to become due or delegate or subcontract any work or other obligation to be performed or owed under this agreement without prior consent of edge,Anti-Assignment
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,"2TheMart hereby grants to i-Escrow a worldwide, non-exclusive right to use, reproduce, distribute, publicly perform, publicly display and digitally perform the 2TheMart Content soley with respect to and in conjunction with the Co-Branded Site all with the prior written consent of 2TheMart, for the term of this Agreement.",2themart hereby grants to i escrow a worldwide non exclusive right to use reproduce distribute publicly perform publicly display and digitally perform the 2themart content soley with respect to and in conjunction with the co branded site all with the prior written consent of 2themart for the term of this agreement,License Grant
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,BSP may: (a) assign all or part of this agreement to any person as part of a restructure; and (b) assign or novate all or part of the rights and obligations under this agreement to any of the BSP's Related Company's as part of a re- organisation of its business.,bsp may a assign all or part of this agreement to any person as part of a restructure and b assign or novate all or part of the rights and obligations under this agreement to any of the bsp s related company s as part of a re organisation of its business,Anti-Assignment
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,Customer is granted an unlimited number of Client Access Licenses.,customer is granted an unlimited number of client access licenses,Unlimited/All-You-Can-Eat-License
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,"Allied grants Newegg a non-exclusive, royalty-free, non-assignable, non-transferable, and non- sublicensable worldwide license to use, publicly display, transmit, broadcast, stream, distribute and reproduce the Allied Marks in all approved forms and in manners for the purposes of this Agreement during the Term.",allied grants newegg a non exclusive royalty free non assignable non transferable and non sublicensable worldwide license to use publicly display transmit broadcast stream distribute and reproduce the allied marks in all approved forms and in manners for the purposes of this agreement during the term,License Grant
"Reinsurance Group of America, Incorporated - A_R REMARKETING AGREEMENT",Such insurance insures against such losses and risks as are adequate in accordance with the Company's perception of customary industry practice to protect the Company and its subsidiaries and their businesses.,such insurance insures against such losses and risks as are adequate in accordance with the company s perception of customary industry practice to protect the company and its subsidiaries and their businesses,Insurance
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,"he Company further agrees that neither it nor its employees, affiliates or assigns, shall enter into, or otherwise arrange (either for it/him/herself, or any other person or entity) any business relationship, contact any person regarding such Opportunity, either directly or indirectly, or any of its affiliates, or accept any compensation or advantage in relation to such Opportunity except as directly though Consultant, without the prior written approval of Consultant.",he company further agrees that neither it nor its employees affiliates or assigns shall enter into or otherwise arrange either for it him herself or any other person or entity any business relationship contact any person regarding such opportunity either directly or indirectly or any of its affiliates or accept any compensation or advantage in relation to such opportunity except as directly though consultant without the prior written approval of consultant,No-Solicit Of Customers
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"shall retain those licenses granted to it under this Agreement, provided that the license shall be limited to the business, products or services (as applicable) of the Divested Entity as of the date of divestment and such natural development thereof within the Nuance Field of Use (where Nuance is the divesting Party) or SpinCo Field of Use (where SpinCo is the divesting party).",shall retain those licenses granted to it under this agreement provided that the license shall be limited to the business products or services as applicable of the divested entity as of the date of divestment and such natural development thereof within the nuance field of use where nuance is the divesting party or spinco field of use where spinco is the divesting party,License Grant
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,"During the Appointment, the Executive may not accept any employment with or appointment to any office, whether paid or unpaid, in relation to anybody, whether corporate or not (other than a Group Company), or directly or indirectly be interested in any manner in any other business except:",during the appointment the executive may not accept any employment with or appointment to any office whether paid or unpaid in relation to anybody whether corporate or not other than a group company or directly or indirectly be interested in any manner in any other business except,Non-Compete
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,"If Intuit fails to deliver such Impressions during the twelve (12) month period following the Launch Date, Intuit agrees to run such promotions in equivalent areas and placement, as mutually agreed upon by the parties, until such Impressions have been delivered.",if intuit fails to deliver such impressions during the twelve 12 month period following the launch date intuit agrees to run such promotions in equivalent areas and placement as mutually agreed upon by the parties until such impressions have been delivered,Minimum Commitment
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","SpinCo and RemainCo agree and acknowledge that, although RemainCo was responsible for publishing the current forty-second (42nd) edition of the Steam Book, as of the Distribution Date, all rights, responsibilities, duties and obligations related to the publication, distribution and sale of this edition shall be transferred to SpinCo.",spinco and remainco agree and acknowledge that although remainco was responsible for publishing the current forty second 42nd edition of the steam book as of the distribution date all rights responsibilities duties and obligations related to the publication distribution and sale of this edition shall be transferred to spinco,Ip Ownership Assignment
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",F. Hoffmann-La Roche Ltd,f hoffmann la roche ltd,Parties
